2018-01-03 22:22:32.606747	https://www.encodeproject.org/report/?type=Experiment&assay_title=ChIP-seq&assembly=hg19&files.file_type=bam&searchTerm=H3K4me3&lab.title=Bradley+Bernstein%2C+Broad&sort=biosample_term_name&limit=all
ID	Accession	Assay Type	Assay Nickname	Target label	Target gene	Biosample summary	Biosample	Description	Lab	Project	Status	Biological replicate	Technical replicate	Linked Antibody	Species	Life stage	Age	Age Units	Treatment	Term ID	Concentration	Concentration units	Duration	Duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR016JWS/	ENCSR016JWS	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	mammary epithelial cell female adult (50 years)	mammary epithelial cell		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	50	year										/replicates/e0ae6696-0272-4132-a9b8-2cf7a8b1a650/,/replicates/9308a928-32f3-4ea7-bc8a-26e3f526bfd3/
/experiments/ENCSR344TLI/	ENCSR344TLI	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	right lobe of liver female adult (53 years)	right lobe of liver		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/635d9bb8-bf7f-46e9-963b-efbbaa7d4211/,/replicates/bbc240bd-c0b7-4cb3-91d9-86aef0a7f77a/
/experiments/ENCSR258UUX/	ENCSR258UUX	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	vagina female adult (53 years)	vagina		Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB582RSV	Homo sapiens	adult	53	year										/replicates/c6ffa32b-8538-42c0-a3a2-6386c4fd3b73/,/replicates/4b5139cf-1dff-44f2-93bf-3c25b7602269/
/experiments/ENCSR192GUR/	ENCSR192GUR	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	common myeloid progenitor, CD34-positive male adult (42 years)	common myeloid progenitor, CD34-positive		Bradley Bernstein, Broad	Roadmap	released	1	1	ENCAB000BLE	Homo sapiens	adult	42	year										/replicates/6b3adc0e-b38a-4f37-8134-2e133b0b79b1/
/experiments/ENCSR000ANK/	ENCSR000ANK	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	skeletal muscle myoblast male adult (22 years)	skeletal muscle myoblast	H3K4me3 ChIP-seq on human skeletal muscle myoblast	Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000BLJ	Homo sapiens	adult	22	year										/replicates/7b0c817d-8375-4555-bbe0-0094ff3b0ee3/,/replicates/7aeb2e13-8dcb-4475-b9f7-15ebce67570b/
/experiments/ENCSR000AKU/	ENCSR000AKU	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	K562	K562	H3K4me3 ChIP-seq on human K562	Bradley Bernstein, Broad	ENCODE	released	1,2	1	ENCAB000BLJ	Homo sapiens	adult	53	year										/replicates/e8f64ab6-9ea4-4766-b08d-2313d732e077/,/replicates/8ec684c6-b961-4865-88da-cf640bf84506/
/experiments/ENCSR930HLX/	ENCSR930HLX	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	thoracic aorta male adult (54 years)	thoracic aorta		Bradley Bernstein, Broad	ENCODE	released	1,2	1,2	ENCAB582RSV	Homo sapiens	adult	54	year										/replicates/1247276b-870a-4175-8311-aac281603190/,/replicates/a7feb25e-9033-4fcc-8c33-ba3e4daf2787/,/replicates/96ad40b8-de32-4e15-995f-363e2a99bdf2/,/replicates/762cfbb9-3423-4b1a-b185-e6489ef55d8a/
/experiments/ENCSR900UIP/	ENCSR900UIP	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	sigmoid colon female adult (53 years)	sigmoid colon		Bradley Bernstein, Broad	ENCODE	released	1	1	ENCAB902NZL	Homo sapiens	adult	53	year										/replicates/2210c6bd-cf6d-4892-ba81-7c86eae16586/
/experiments/ENCSR163ALM/	ENCSR163ALM	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	common myeloid progenitor, CD34-positive male adult	common myeloid progenitor, CD34-positive		Bradley Bernstein, Broad	Roadmap	released	1	1	ENCAB000BLE	Homo sapiens	adult	unknown											/replicates/c2358114-523c-495c-968f-44be62963067/
/experiments/ENCSR446ZCY/	ENCSR446ZCY	ChIP-seq	ChIP-seq	H3K4me3	HIST2H3C	endodermal cell originated from HUES64	endodermal cell		Bradley Bernstein, Broad	Roadmap	released	1,2	5	ENCAB000BLE	Homo sapiens	embryonic	unknown											/replicates/a0c10914-6b0c-42c0-b660-d034827748e9/,/replicates/cc21d7b3-3499-4571-a79b-a7d071f4efc8/
